2023-09-10 17:34:09,750 | INFO | client.py | login : logging in using static token
2023-09-10 17:34:10,885 | INFO | gateway.py | identify : Shard ID None has sent the IDENTIFY payload.
2023-09-10 17:34:11,228 | INFO | gateway.py | received_message : Shard ID None has connected to Gateway: ["gateway-prd-us-east1-c-1xfq",{"micros":194595,"calls":["id_created",{"micros":1354,"calls":[]},"session_lookup_time",{"micros":678,"calls":[]},"session_lookup_finished",{"micros":29,"calls":[]},"discord-sessions-prd-2-152",{"micros":191017,"calls":["start_session",{"micros":136369,"calls":["discord-api-645dfd885d-8skmj",{"micros":131507,"calls":["get_user",{"micros":26575},"get_guilds",{"micros":6608},"send_scheduled_deletion_message",{"micros":8},"guild_join_requests",{"micros":7632},"authorized_ip_coro",{"micros":9}]}]},"starting_guild_connect",{"micros":56,"calls":[]},"presence_started",{"micros":312,"calls":[]},"guilds_started",{"micros":149,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":54100,"calls":[]},"connect_finished",{"micros":54105,"calls":[]},"build_ready",{"micros":21,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}] (Session ID: afe539b43b470200cc0a24b6a9b30866).
2023-09-10 17:38:30,587 | INFO | client.py | login : logging in using static token
2023-09-10 17:38:31,853 | INFO | gateway.py | identify : Shard ID None has sent the IDENTIFY payload.
2023-09-10 17:38:32,213 | INFO | gateway.py | received_message : Shard ID None has connected to Gateway: ["gateway-prd-us-east1-b-37c3",{"micros":75450,"calls":["id_created",{"micros":1908,"calls":[]},"session_lookup_time",{"micros":615,"calls":[]},"session_lookup_finished",{"micros":42,"calls":[]},"discord-sessions-prd-2-109",{"micros":71482,"calls":["start_session",{"micros":48288,"calls":["discord-api-645dfd885d-4sgrs",{"micros":43747,"calls":["get_user",{"micros":14308},"get_guilds",{"micros":5017},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":14}]}]},"starting_guild_connect",{"micros":57,"calls":[]},"presence_started",{"micros":288,"calls":[]},"guilds_started",{"micros":181,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":22641,"calls":[]},"connect_finished",{"micros":22646,"calls":[]},"build_ready",{"micros":18,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}] (Session ID: 1df299e9194df194f9780ee0657bfc95).
2023-09-10 17:39:05,176 | INFO | client.py | login : logging in using static token
2023-09-10 17:39:06,171 | INFO | gateway.py | identify : Shard ID None has sent the IDENTIFY payload.
2023-09-10 17:39:06,354 | INFO | gateway.py | received_message : Shard ID None has connected to Gateway: ["gateway-prd-us-east1-d-1b59",{"micros":48761,"calls":["id_created",{"micros":1840,"calls":[]},"session_lookup_time",{"micros":360,"calls":[]},"session_lookup_finished",{"micros":18,"calls":[]},"discord-sessions-prd-2-9",{"micros":45990,"calls":["start_session",{"micros":41613,"calls":["discord-api-645dfd885d-rkdv6",{"micros":38178,"calls":["get_user",{"micros":13364},"get_guilds",{"micros":3633},"send_scheduled_deletion_message",{"micros":8},"guild_join_requests",{"micros":201},"authorized_ip_coro",{"micros":9}]}]},"starting_guild_connect",{"micros":105,"calls":[]},"presence_started",{"micros":623,"calls":[]},"guilds_started",{"micros":168,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":3443,"calls":[]},"connect_finished",{"micros":3450,"calls":[]},"build_ready",{"micros":27,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}] (Session ID: 24ba62c92b833d93956fbdea381760a7).
2023-09-10 17:39:44,721 | INFO | client.py | login : logging in using static token
2023-09-10 17:39:45,911 | INFO | gateway.py | identify : Shard ID None has sent the IDENTIFY payload.
2023-09-10 17:39:46,169 | INFO | gateway.py | received_message : Shard ID None has connected to Gateway: ["gateway-prd-us-east1-c-b5gv",{"micros":117421,"calls":["id_created",{"micros":991,"calls":[]},"session_lookup_time",{"micros":10159,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-242",{"micros":100416,"calls":["start_session",{"micros":56389,"calls":["discord-api-645dfd885d-hkwq6",{"micros":50872,"calls":["get_user",{"micros":17449},"get_guilds",{"micros":4193},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":1093},"authorized_ip_coro",{"micros":13}]}]},"starting_guild_connect",{"micros":54,"calls":[]},"presence_started",{"micros":356,"calls":[]},"guilds_started",{"micros":146,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":43442,"calls":[]},"connect_finished",{"micros":43448,"calls":[]},"build_ready",{"micros":20,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}] (Session ID: 28083c512653a8344c4b1e1102f71599).
